Kingdom	Phylum	Counts_AllNR	Counts_HQNR
Archaea	Asgardarchaeota	2	0
Archaea	Hadarchaeota	1	1
Archaea	Nanoarchaeota	7	0
Archaea	Thermoplasmatota	102	1
Archaea	Thermoproteota	10	3
Bacteria	Acidobacteriota	6	1
Bacteria	Actinobacteriota	104	26
Bacteria	ARS69	1	1
Bacteria	Bacteroidota	310	97
Bacteria	Bdellovibrionota	17	5
Bacteria	Calditrichota	1	1
Bacteria	Campylobacterota	1	1
Bacteria	Chloroflexota	46	8
Bacteria	Cloacimonadota	1	1
Bacteria	Cyanobacteria	98	10
Bacteria	Dependentiae	2	0
Bacteria	Desulfobacterota	10	5
Bacteria	Desulfobacterota_B	5	4
Bacteria	Desulfobacterota_D	2	0
Bacteria	Eremiobacterota	4	0
Bacteria	Firmicutes	7	5
Bacteria	Firmicutes_A	3	2
Bacteria	Fusobacteriota	2	0
Bacteria	Gemmatimonadota	2	0
Bacteria	Gemmatimonadota_A	2	1
Bacteria	Krumholzibacteriota	1	1
Bacteria	Latescibacterota	13	0
Bacteria	Margulisbacteria	1	0
Bacteria	Marinisomatota	20	1
Bacteria	Myxococcota	46	11
Bacteria	Myxococcota_A	34	14
Bacteria	Myxococcota_B	1	0
Bacteria	Nitrospinota	7	0
Bacteria	Nitrospirota	2	1
Bacteria	Patescibacteria	10	0
Bacteria	Planctomycetota	304	126
Bacteria	Poribacteria	25	5
Bacteria	Proteobacteria	992	326
Bacteria	SAR324	23	2
Bacteria	Spirochaetota	19	4
Bacteria	UBP15	1	0
Bacteria	UBP18	1	0
Bacteria	UBP7	1	0
Bacteria	Verrucomicrobiota	154	49
Bacteria	Verrucomicrobiota_A	6	3
